keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
b,1,4.194,,,,,,,,2.694,,0,0,0,4,1,1.5,images/target_plus.jpg,1,001,2022-07-06_11h06.34.242,choiceRTT,2021.2.3,Win32,47.98464491,,,,,,,,,,,
v,1,3.657,,,,,,,,2.157,,0,1,1,2,1,1.5,images/target_square.jpg,1,001,2022-07-06_11h06.34.242,choiceRTT,2021.2.3,Win32,47.98464491,,,,,,,,,,,
c,1,2.758,,,,,,,,1.658,,0,2,2,0,1,1.1,images/target_cross.jpg,1,001,2022-07-06_11h06.34.242,choiceRTT,2021.2.3,Win32,47.98464491,,,,,,,,,,,
v,1,2.061,,,,,,,,0.961,,0,3,3,5,1,1.1,images/target_square.jpg,1,001,2022-07-06_11h06.34.242,choiceRTT,2021.2.3,Win32,47.98464491,,,,,,,,,,,
c,1,2.099,,,,,,,,0.599,,0,4,4,6,1,1.5,images/target_cross.jpg,1,001,2022-07-06_11h06.34.242,choiceRTT,2021.2.3,Win32,47.98464491,,,,,,,,,,,
v,1,2.994,,,,,,,,1.694,,0,5,5,8,1,1.3,images/target_square.jpg,1,001,2022-07-06_11h06.34.242,choiceRTT,2021.2.3,Win32,47.98464491,,,,,,,,,,,
c,0,1.916,,,,,,,,0.616,,0,6,6,1,1,1.3,images/target_plus.jpg,1,001,2022-07-06_11h06.34.242,choiceRTT,2021.2.3,Win32,47.98464491,,,,,,,,,,,
b,1,1.98,,,,,,,,0.88,,0,7,7,7,1,1.1,images/target_plus.jpg,1,001,2022-07-06_11h06.34.242,choiceRTT,2021.2.3,Win32,47.98464491,,,,,,,,,,,
b,0,2,,,,,,,,0.7,,0,8,8,3,1,1.3,images/target_cross.jpg,1,001,2022-07-06_11h06.34.242,choiceRTT,2021.2.3,Win32,47.98464491,,,,,,,,,,,
v,1,2.494,,,,,,,,1.194,,,,,,,1.3,images/target_square.jpg,1,001,2022-07-06_11h06.34.242,choiceRTT,2021.2.3,Win32,47.98464491,,0.043055556,-0.238888889,1,0,0,0,0,0,8,1
b,1,2.448,,,,,,,,0.948,,,,,,,1.5,images/target_plus.jpg,1,001,2022-07-06_11h06.34.242,choiceRTT,2021.2.3,Win32,47.98464491,,,,,,,0,1,1,4,1
b,1,2.026,,,,,,,,0.726,,,,,,,1.3,images/target_plus.jpg,1,001,2022-07-06_11h06.34.242,choiceRTT,2021.2.3,Win32,47.98464491,,,,,,,0,2,2,1,1
c,1,2.723,,,,,,,,1.223,,,,,,,1.5,images/target_cross.jpg,1,001,2022-07-06_11h06.34.242,choiceRTT,2021.2.3,Win32,47.98464491,,,,,,,0,3,3,6,1
v,1,1.931,,,,,,,,0.831,,,,,,,1.1,images/target_square.jpg,1,001,2022-07-06_11h06.34.242,choiceRTT,2021.2.3,Win32,47.98464491,,,,,,,0,4,4,5,1
b,1,1.816,,,,,,,,0.716,,,,,,,1.1,images/target_plus.jpg,1,001,2022-07-06_11h06.34.242,choiceRTT,2021.2.3,Win32,47.98464491,,,,,,,0,5,5,7,1
