keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,moveOnKeys.rt,keyResp.rt,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,0,0.012962963,-0.255555556,1,0,0,4.8012,square_button,1,3.5012,,0,0,0,8,1,1.3,images/target_square.jpg,1,001,2023-06-12_14h05.29.139,choiceRTT,2021.2.3,Win32,60.13590715,,,,,,,,,,,,,
,0,-0.238888889,-0.262962963,1,0,0,2.9631,cross_button,0,1.8631,,0,1,1,5,1,1.1,images/target_square.jpg,1,001,2023-06-12_14h05.29.139,choiceRTT,2021.2.3,Win32,60.13590715,,,,,,,,,,,,,
,0,-0.223148148,-0.264814815,1,0,0,1.1656,cross_button,1,-0.1344,,0,2,2,3,1,1.3,images/target_cross.jpg,1,001,2023-06-12_14h05.29.139,choiceRTT,2021.2.3,Win32,60.13590715,,,,,,,,,,,,,
,0,0.261111111,-0.251851852,1,0,0,2.8469,plus_button,0,1.3469,space,0,3,3,6,1,1.5,images/target_cross.jpg,1,001,2023-06-12_14h05.29.139,choiceRTT,2021.2.3,Win32,60.13590715,1.822,,,,,,,,,,,,
,0,0.035185185,-0.240740741,1,0,0,1.8475,square_button,0,0.3475,,0,4,4,4,1,1.5,images/target_plus.jpg,1,001,2023-06-12_14h05.29.139,choiceRTT,2021.2.3,Win32,60.13590715,,,,,,,,,,,,,
,0,-0.010185185,-0.259259259,1,0,0,1.427,square_button,0,0.327,,0,5,5,0,1,1.1,images/target_cross.jpg,1,001,2023-06-12_14h05.29.139,choiceRTT,2021.2.3,Win32,60.13590715,,,,,,,,,,,,,
,0,-0.217592593,-0.24537037,1,0,0,1.0773,cross_button,0,-0.0227,,0,6,6,7,1,1.1,images/target_plus.jpg,1,001,2023-06-12_14h05.29.139,choiceRTT,2021.2.3,Win32,60.13590715,,,,,,,,,,,,,
,0,0.042592593,-0.238888889,1,0,0,0.8605,square_button,1,-0.6395,space,0,7,7,2,1,1.5,images/target_square.jpg,1,001,2023-06-12_14h05.29.139,choiceRTT,2021.2.3,Win32,60.13590715,2.0778,,,,,,,,,,,,
c,0,,,,,,,,,0.2453,space,0,8,8,1,1,1.3,images/target_plus.jpg,1,001,2023-06-12_14h05.29.139,choiceRTT,2021.2.3,Win32,60.13590715,2.4979,1.5453,,,,,,,,,,,
v,0,,,,,,,,,0.6707,,,,,,,1.1,images/target_plus.jpg,1,001,2023-06-12_14h05.29.139,choiceRTT,2021.2.3,Win32,60.13590715,,1.7707,,0.024074074,-0.247222222,1,0,0,0,0,0,7,1
