keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,1,2.259,,,,,,,,1.159,,0,0,0,0,1,1.1,images/target_cross.jpg,,001,2022-02-23_10h26.52.559,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,
c,0,1.826,,,,,,,,0.726,,0,1,1,7,1,1.1,images/target_plus.jpg,,001,2022-02-23_10h26.52.559,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,
v,1,2.295,,,,,,,,0.995,,0,2,2,8,1,1.3,images/target_square.jpg,,001,2022-02-23_10h26.52.559,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,
v,1,2.08,,,,,,,,0.58,,0,3,3,2,1,1.5,images/target_square.jpg,,001,2022-02-23_10h26.52.559,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,
v,1,1.777,0.600694444,-0.048611111,1,0,0,0.2,,0.677,,0,4,4,5,1,1.1,images/target_square.jpg,,001,2022-02-23_10h26.52.559,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,
c,1,2.365,,,,,,,,0.865,,0,5,5,6,1,1.5,images/target_cross.jpg,,001,2022-02-23_10h26.52.559,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,
c,1,1.825,,,,,,,,0.525,,0,6,6,3,1,1.3,images/target_cross.jpg,,001,2022-02-23_10h26.52.559,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,
b,1,2.144,,,,,,,,0.844,,0,7,7,1,1,1.3,images/target_plus.jpg,,001,2022-02-23_10h26.52.559,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,
b,1,2.41,,,,,,,,0.91,,0,8,8,4,1,1.5,images/target_plus.jpg,,001,2022-02-23_10h26.52.559,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,
b,1,2.395,,,,,,,,0.895,,,,,,,1.5,images/target_plus.jpg,,001,2022-02-23_10h26.52.559,choiceRTT,2021.2.3,Win32,60.0240096,,0.053240741,-0.234953704,1,0,0,0,0,0,4,1
c,1,1.743,,,,,,,,0.643,,,,,,,1.1,images/target_cross.jpg,,001,2022-02-23_10h26.52.559,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,0,1,1,0,1
v,1,1.828,,,,,,,,0.728,,,,,,,1.1,images/target_square.jpg,,001,2022-02-23_10h26.52.559,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,0,2,2,5,1
