participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage
,001,2023-12-24_17h02.06.057,choiceRTT,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,
,001,2023-12-24_17h02.06.057,choiceRTT,2023.1.3,Win32,59.88023952,b,1,2.011,,,,,,,,,0.911,space,1.4334,,0,0,0,7,1,1.1,images/target_plus.jpg
,001,2023-12-24_17h02.06.057,choiceRTT,2023.1.3,Win32,59.88023952,v,1,2.3105,,,,,,,,,1.2105,space,1.4167,,0,1,1,5,1,1.1,images/target_square.jpg
,001,2023-12-24_17h02.06.057,choiceRTT,2023.1.3,Win32,59.88023952,c,1,2.3068,,,,,,,,,0.8068,space,0.6875,,0,2,2,6,1,1.5,images/target_cross.jpg
,001,2023-12-24_17h02.06.057,choiceRTT,2023.1.3,Win32,59.88023952,c,1,2.2846,,,,,,,,,0.9846,space,0.829,,0,3,3,3,1,1.3,images/target_cross.jpg
,001,2023-12-24_17h02.06.057,choiceRTT,2023.1.3,Win32,59.88023952,b,1,2.3821,,,,,,,,,0.8821,space,0.7839,,0,4,4,4,1,1.5,images/target_plus.jpg
,001,2023-12-24_17h02.06.057,choiceRTT,2023.1.3,Win32,59.88023952,v,1,2.2226,,,,,,,,,0.7226,space,0.5338,,0,5,5,2,1,1.5,images/target_square.jpg
,001,2023-12-24_17h02.06.057,choiceRTT,2023.1.3,Win32,59.88023952,v,1,2.9274,,,,,,,,,1.6274,space,0.8106,,0,6,6,8,1,1.3,images/target_square.jpg
,001,2023-12-24_17h02.06.057,choiceRTT,2023.1.3,Win32,59.88023952,b,1,2.3061,,,,,,,,,1.0061,space,0.6242,,0,7,7,1,1,1.3,images/target_plus.jpg
,001,2023-12-24_17h02.06.057,choiceRTT,2023.1.3,Win32,59.88023952,c,1,1.8021,,,,,,,,,0.7021,space,0.7331,,0,8,8,0,1,1.1,images/target_cross.jpg
