keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,0,1.933,,,,,,,,0.833,,0,0,0,7,1,1.1,images/target_plus.jpg,ffef,001,2023-01-11_14h07.44.854,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,,,,
c,0,1.989,,,,,,,,0.489,,0,1,1,4,1,1.5,images/target_plus.jpg,ffef,001,2023-01-11_14h07.44.854,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,,,,
v,1,2.189,,,,,,,,1.089,,0,2,2,5,1,1.1,images/target_square.jpg,ffef,001,2023-01-11_14h07.44.854,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,,,,
b,0,2.094,,,,,,,,0.594,,0,3,3,6,1,1.5,images/target_cross.jpg,ffef,001,2023-01-11_14h07.44.854,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,,,,
c,1,2.356,,,,,,,,1.056,,0,4,4,3,1,1.3,images/target_cross.jpg,ffef,001,2023-01-11_14h07.44.854,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,,,,
c,1,1.894,,,,,,,,0.794,,0,5,5,0,1,1.1,images/target_cross.jpg,ffef,001,2023-01-11_14h07.44.854,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,,,,
v,1,1.893,,,,,,,,0.593,,0,6,6,8,1,1.3,images/target_square.jpg,ffef,001,2023-01-11_14h07.44.854,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,,,,
c,0,2.058,,,,,,,,0.758,,0,7,7,1,1,1.3,images/target_plus.jpg,ffef,001,2023-01-11_14h07.44.854,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,,,,
v,1,2.539,,,,,,,,1.039,,0,8,8,2,1,1.5,images/target_square.jpg,ffef,001,2023-01-11_14h07.44.854,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,,,,
v,1,2.321,,,,,,,,1.021,,,,,,,1.3,images/target_square.jpg,ffef,001,2023-01-11_14h07.44.854,choiceRTT,2021.2.3,Win32,59.95203837,,-0.000925926,-0.231481481,1,0,0,0,0,0,8,1
