keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
b,1,2.714,,,,,,,,1.214,,0,0,0,4,1,1.5,images/target_plus.jpg,m,001,2022-07-12_14h59.44.380,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,,,,,
c,1,3.019,,,,,,,,1.919,,0,1,1,0,1,1.1,images/target_cross.jpg,m,001,2022-07-12_14h59.44.380,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,,,,,
b,1,2.019,,,,,,,,0.719,,0,2,2,1,1,1.3,images/target_plus.jpg,m,001,2022-07-12_14h59.44.380,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,,,,,
b,1,1.669,,,,,,,,0.569,,0,3,3,7,1,1.1,images/target_plus.jpg,m,001,2022-07-12_14h59.44.380,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,,,,,
v,1,2.037,,,,,,,,0.737,,0,4,4,8,1,1.3,images/target_square.jpg,m,001,2022-07-12_14h59.44.380,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,,,,,
c,1,2.42,,,,,,,,0.92,,0,5,5,6,1,1.5,images/target_cross.jpg,m,001,2022-07-12_14h59.44.380,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,,,,,
b,0,2.312,,,,,,,,1.012,,0,6,6,3,1,1.3,images/target_cross.jpg,m,001,2022-07-12_14h59.44.380,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,,,,,
v,1,2.036,,,,,,,,0.936,,0,7,7,5,1,1.1,images/target_square.jpg,m,001,2022-07-12_14h59.44.380,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,,,,,
v,1,2.237,,,,,,,,0.737,,0,8,8,2,1,1.5,images/target_square.jpg,m,001,2022-07-12_14h59.44.380,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,,,,,
v,0,2.071,,,,,,,,0.971,,,,,,,1.1,images/target_cross.jpg,m,001,2022-07-12_14h59.44.380,choiceRTT,2021.2.3,MacIntel,62.5,,0.042222222,-0.266666667,1,0,0,0,0,0,0,1
b,1,2.172,,,,,,,,0.672,,,,,,,1.5,images/target_plus.jpg,m,001,2022-07-12_14h59.44.380,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,0,1,1,4,1
v,0,1.927,,,,,,,,0.627,,,,,,,1.3,images/target_cross.jpg,m,001,2022-07-12_14h59.44.380,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,0,2,2,3,1
v,1,3.023,,,,,,,,1.923,,,,,,,1.1,images/target_square.jpg,m,001,2022-07-12_14h59.44.380,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,0,3,3,5,1
v,1,2.129,,,,,,,,0.629,,,,,,,1.5,images/target_square.jpg,m,001,2022-07-12_14h59.44.380,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,0,4,4,2,1
b,1,1.708,,,,,,,,0.608,,,,,,,1.1,images/target_plus.jpg,m,001,2022-07-12_14h59.44.380,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,0,5,5,7,1
v,1,1.946,,,,,,,,0.646,,,,,,,1.3,images/target_square.jpg,m,001,2022-07-12_14h59.44.380,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,0,6,6,8,1
v,0,0.085,,,,,,,,-1.415,,,,,,,1.5,images/target_cross.jpg,m,001,2022-07-12_14h59.44.380,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,0,7,7,6,1
c,0,1.695,,,,,,,,0.395,,,,,,,1.3,images/target_plus.jpg,m,001,2022-07-12_14h59.44.380,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,0,8,8,1,1
v,1,2.765,,,,,,,,1.265,,,,,,,1.5,images/target_square.jpg,m,001,2022-07-12_14h59.44.380,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,1,0,9,2,1
v,1,2.055,,,,,,,,0.755,,,,,,,1.3,images/target_square.jpg,m,001,2022-07-12_14h59.44.380,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,1,1,10,8,1
v,1,1.578,,,,,,,,0.478,,,,,,,1.1,images/target_square.jpg,m,001,2022-07-12_14h59.44.380,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,1,2,11,5,1
c,0,2.07,,,,,,,,0.97,,,,,,,1.1,images/target_plus.jpg,m,001,2022-07-12_14h59.44.380,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,1,3,12,7,1
c,1,1.787,,,,,,,,0.687,,,,,,,1.1,images/target_cross.jpg,m,001,2022-07-12_14h59.44.380,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,1,4,13,0,1
c,1,2.029,,,,,,,,0.529,,,,,,,1.5,images/target_cross.jpg,m,001,2022-07-12_14h59.44.380,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,1,5,14,6,1
b,1,1.856,,,,,,,,0.556,,,,,,,1.3,images/target_plus.jpg,m,001,2022-07-12_14h59.44.380,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,1,6,15,1,1
b,1,2.143,,,,,,,,0.643,,,,,,,1.5,images/target_plus.jpg,m,001,2022-07-12_14h59.44.380,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,1,7,16,4,1
c,1,2.094,,,,,,,,0.794,,,,,,,1.3,images/target_cross.jpg,m,001,2022-07-12_14h59.44.380,choiceRTT,2021.2.3,MacIntel,62.5,,,,,,,1,8,17,3,1
